id,company,url,experience
0001,eSufiana.com,www.esufiana.com/,9
0002,i-Mesh Ltd,www.imeshbd.com,9
0003,curry soft,www.searchenglish.com,10
0004,Somewherein.net,www.somewherein.net,2
0005,Comjagat Technologies Limited,https://www.comjagat.org/,10
0006,Arpon Communication Limited,www.arpondigital.com,5
0007,Computer Jagat,www.comjagat.com,8
0008,E-cash Ltd.,www.fastcashbd.com,8
0009,Next Step Interactive,www.nextstep-bd.com,8
0010,Aponzone.com,www.aponzone.com,10
0011,Smart Technologies Bd Ltd,www.smart-bd.com,9
0012,REX Eco-Logistics Limited,www.rexecologistics.com,10
0013,Ananda Computers,www.bijoyekushe.net,10
0014,Orange Business Development. Ltd,www.orangebd.com,9
0015,Diamond World Ltd.,www.diamondworldltd.com,10
0016,BDSP IT,www.bdshop.com,8
0017,REVE Systems Ltd    (Reve Chat),www.revechat.com,10
0018,ShurjoMukhi Limited,www.shurjomukhi.com.bd,9
0019,Easy Pay Way,www.easypayway.com,12
0020,Multimedia Kingdom,www.multimediakingdom.com.bd,10
0021,Falah IT (pvt.) Ltd,www.itsme.com.bd,9
0022,The World,www.theworldbd.com,9
0023,Kalam Shipping Lines Ltd,www.kalamshipping.com.bd,13
0024,Technobazarbd,www.technobazarbd.com,10
0025,Unlocklive IT Limited,www.unlocklive.com,9
0026,Purple  IT  ltd,https://www.purpleit.com,11
0027,Rain Group,www.raingroupbd.com,8
0028,Moscow IT Services,www.moscowit.com.bd,8
0029,Apnardeal.com,www.ApnarDeal.com.,8
0030,Khan International Trading,www.khanslist.com,9
0031,Grandiose Bangladesh,www.grandiosebd.com,9
0032,NSP TEL-BD,www.nsptel.com,14
0033,Keenlay.com,www.keenlay.com,9
0034,CoxsBazarShop.com,www.coxsbazarshop.com,10
0035,Reve Tex ltd(Le reve),www.revetex.en.ec21.com,10
0036,Dholaikhaal.com,www.dholaikhaal.com,9
0037,TRAVEL TUNE,www.traveltunebd.com,13
0038,Karigor.com,www.karigor.com,10
0039,Ctg Shop.com Ltd,www.ctgshop.com,10
0040,Dhaka Mela,www.dhakamela.com,9
0041,Digital Development Foundation Ltd.,www.ddf.com.bd,15
0042,Afrin Cosmetics and Boutiques,Afrin Cosmetics and Boutiques,7
0043,Samia Butics and Cosmetics House,www.facebook.com/samiaBoutiques,9
0044,TIDAAL,www.tidaal.com,9
0045,Nijol Creative,www.nijolcreative.com,11
0046,Adhuna Online Store,www.adunastore.com,14
0047,Rodoshi Fashion House,www.facebook.com/Rodoshi-Fashion-House-10727676,14
0048,T-ZONE,www.tzonebd.com,9
0049,The Mall Ltd,www.themallbd.com,8
0050,Creative IT Institute,https://creativeitinstitute.com/,15
0051,Jamdani Ville,www.jamdaniville.com,5
0052,Smart BD Shop,www.smartbdshop.com,8
0053,Betikrom.com,http://betikrom.com/,10
0054,Muthobazaar,http://www.muthobazaar.com/,8
0055,Ariz Technologies,http://ariztech.com/,5
0056,Bichoyon Solutions Ltd.,http://www.bichoyon.com/,13
0057,Enterprise Cloud Systems,http://www.ecloudsys.com/,12
0058,E-qualz,http://e-qualz.com/,4
0059,Monihari.com,http://www.monihari.com/,8
0060,Aziz Tailers & Fabrics,Aziz Tailor,11
0061,Apshora.com,http://www.apshora.com,5
0062,Arrivo Limited,http://www.arrivoltd.com,4
0063,Bengal Mart,www.bengalmart.com,8
0064,Barir Bazar.com,http://barirbazar.com/,8
0065,United People's Trust (UP Trust),http://unitedpeoples.net/,8
0066,Styline Collection Limited,www.stylinecollection.com,7
0067,SAAZ Fashion and Lifestyle,https://www.facebook.com/sabrina.nimmi.9,8
0068,Property Bazaar Limited,www.pbazaar.com,12
0069,Onno Kichhu,www.onnokichhu.com,10
0070,e-Courier Ltd,http://www.ecourier.com.bd,8
0071,The Jeans Factory,www.the-jeans-factory.com,8
0072,Red koncept,www.rakhali.com,6
0073,eSmart Fashion,www.esmartfashion.com,8
0074,Direct Fresh Limited,www.directfreshbd.com,10
0075,Branno,http://www.branoo.com/,9
0076,Media International (Bizbdnews),www.bizbdnews.com,8
0077,Mohammad Online Shop(Ranu Digital Shop),"www.mohammadonlineshop.com,  ranudigitalshop.com",9
0078,R R Tours & Travels,www.rrtravelsbd.com,12
0079,Bdbargain.Com,www.bdbargain.com,8
0080,Walletmix,http://www.walletmix.com/,9
0081,Reverie Corporation Ltd,reveriegroup.com,8
0082,Sonar Courier,www.sonarcourier.com,15
0083,Upgrade Retail,www.upgraderetail.com,8
0084,RN Tech Ltd,www.24bdmart.com,20
0085,AMISH FOODS & AGRO INDUSTRIES LTD.,http://amishagro.com/,9
0086,Amar Pc,amarpc.com,4
0087,Fhore,http://www.fhore.com,8
0088,KANVAS FASHION,www.kanvasbd.com,8
0089,Bnet Incorporation,,8
0090,Bdzzle.com,bdzzle.com,9
0091,ONIX COMPUTERS SYSTEM,http://www.onixbd.com,22
0092,Nettoponno,nettoponno.com,8
0093,Aurthi Fashion,www.aurthifashion.com,9
0094,Bohota,www.bohota.com,8
0095,Stylex5,stylex5.com,8
0096,Promo,https://promo.com.bd/,3
0097,Innovation Consulting Pvt. Ltd.,innovision-bd.com,7
0098,Hyper Tag,www.hypertagsolutions.com,8
0099,Delex,www.delexbd.com,8
0100,Biz Tracker (BD) Ltd,www.biznesstrackerbd.com,6
0101,Atpohor,http://www.atpohor.com/,7
0102,Digital Hub Solutions Ltd,www.digitalhubltd.com,9
0103,Digital Solutions,http://www.digitalslnbd.com/,9
0104,Mobilemella,http://www.mobilemella.com,8
0105,Techsolutions,www.emelabd.net,7
0106,Serve Bangladesh Society,www.serve-bd.org,7
0107,Tazashobji.com,"Company 
Close",7
0108,Kawsar Enterprise,www.kawsargroup.com,15
0109,Time Now IT,www.timenowbd.com,7
0110,Priyo Gadget,www.priyogadget.com.bd,7
0111,Software Shop Limited (SSL),www.sslwireless.com,7
0112,NSHUT.Com,http://nshut.com/,7
0113,Tan Theta,http://thetantheta.com/,7
0114,Girls,littleangelsbd.com,7
0115,Projonmo Digital LTD.,www.projonmodigital.com,7
0116,Brand Bazaar,brandbazaarbd.com,7
0117,LoftyBuy,http://loftybuy.com,7
0118,BEATS POWER TRADING,http://website.informer.com/email/beatspowerbd@gmail.com,7
0119,Elixir Enterprise,http://www.elixir-enterprises.com/main/index.php,7
0120,Maa Fashion Concept,https://www.facebook.com/Maa-Fashion-Concept-785560384872821/,7
0121,Extra Communication,www.extrabd.com,7
0122,Lavelux,www.lavelux.com,7
0123,Nokshactg,www.nokshactg.com,7
0124,Officer Jonno Supplies,www.officerjonno.com,7
0125,Opositive Icon,www.opositiveicon.com,7
0126,Tunibibi.com,www.tunibibi.com,7
0127,Myshoppingbd.com,myshoppingbd.com,7
0128,YSHMA,https://www.facebook.com/yshmabd/,7
0129,Ehatbd,ehatbd.com,7
0130,Fresh Foodbd,freshfoodbd.com,7
0131,Buymebrand,www.BuyMeBrand.com.bd,8
0132,Softlinkbd,www.softlinkbd.com,8
0133,Urban Fashion,http://haansa.com/,8
0134,Brand Bangla,www.brandbanglaeshop.com,7
0135,KICHAI IT Service,www.kichai.net,7
0136,Oitizzer saad,www.facebook.com/oitijjershadh.ctg,9
0137,AGD IT SOLUTION BD LTD,http://agdits.com.bd/,8
138,Ojonika,www.ojonika.com,9
0139,Angik,http://www.angik.com/,8
0140,Contessa solutions and consultants Ltd,www.contessabd.com,11
0141,Rightchoicebd.com,www.rightchoicebd.com,6
0142,BLACKiz Limited,it.black-iz.com,11
0143,Zero BD.Com,l,8
0144,Charu Shop,charushop.com,9
0145,Optimum Solution and Services Limited,www.oss.com.bd,8
0146,Aramex Dhaka Ltd.,www.aramex.com,8
