id,company,homepage_url,category_page_url,product_page_url
0002,i-Mesh Ltd,www.imeshbd.com,https://imeshltd.com/cases/,https://imeshltd.com/showcase/online-insurance-solution/
0005,Comjagat Technologies Limited,https://www.comjagat.org/,https://www.comjagat.org/process.php,https://www.comjagat.org/works.php
0010,Aponzone.com,www.aponzone.com,https://www.aponzone.com/categories,https://aponzone.com/product/sukkari-premium-dates
0011,Smart Technologies Bd Ltd,www.smart-bd.com,https://www.smart-bd.com/category/laptops-all,https://www.smart-bd.com/product/aero-14-oled-9mf-intel-i5-12th-gen-12500h-2-5gh-to-4-5ghz-14-qhd-laptop
0015,Diamond World Ltd.,www.diamondworldltd.com,https://www.diamondworldltd.com/diamond/earring,https://www.diamondworldltd.com/WER18-12035
0016,BDSP IT,www.bdshop.com,https://www.bdshop.com/home-households,https://www.bdshop.com/philips-airfryer-hd9216
0017,REVE Systems Ltd    (Reve Chat),www.revechat.com,https://www.revechat.com/features/,https://www.revechat.com/chatbots/
0020,Multimedia Kingdom,www.multimediakingdom.com.bd,https://multimediakingdom.com.bd/graphic-tablet/,https://multimediakingdom.com.bd/product/xp-pen-star-g430s/
0025,Unlocklive IT Limited,www.unlocklive.com,https://www.unlocklive.com/our-product/,https://www.unlocklive.com/inventory-management-system/
0029,Apnardeal.com,www.apnardeal.com,https://apnardeal.com/categories/,https://apnardeal.com/ads/pulsar-150-%e0%a6%ae%e0%a6%a1%e0%a7%87%e0%a6%b2-2015/
0033,Keenlay.com,www.keenlay.com,https://keenlay.com/19214/150,https://keenlay.com/19214/150?product_id=4371
0034,CoxsBazarShop.com,www.coxsbazarshop.com,https://coxsbazarshop.com/shop/,https://coxsbazarshop.com/product/%e0%a7%ae%e0%a7%a6%e0%a7%a6-%e0%a6%9f%e0%a6%be%e0%a6%95%e0%a6%be%e0%a6%b0-%e0%a6%ac%e0%a6%be%e0%a6%b0%e0%a7%8d%e0%a6%ae%e0%a6%bf%e0%a6%9c-%e0%a6%86%e0%a6%9a%e0%a6%be%e0%a6%b0-%e0%a6%9a%e0%a6%95/
0035,Reve Tex ltd(Le reve),www.revetex.en.ec21.com,https://www.ec21.com/ec-market/Agriculture--01.html,https://www.ec21.com/product-details/Top-Quality-Green-Mung-Beans--11828127.html
0045,Nijol Creative,www.nijolcreative.com,https://www.nijolcreative.com/package/,https://www.nijolcreative.com/product/wedding-package-7/
0049,The Mall Ltd,www.themallbd.com,https://www.themallbd.com/collection/skin-care-bath-body-care-body-lotion-cream,https://www.themallbd.com/product/aveeno-daily-moisturising-creamy-oil-for-normal-to-dry-skin-300ml
0050,Creative IT Institute,https://creativeitinstitute.com/,https://www.creativeitinstitute.com/department/web-software,https://www.creativeitinstitute.com/courses/app-development-with-kotlin
0057,Enterprise Cloud Systems,http://www.ecloudsys.com/,https://ecloudsys.com/products/,https://ecloudsys.com/products/ecloud-pos/
0068,Property Bazaar Limited,www.pbazaar.com,https://www.pbazaar.com/en/apartment-for-sale,https://www.pbazaar.com/en/3-bed-rooms-apartment-sale-at-shyamoli-3
0086,Amar Pc,amarpc.com,https://www.amarpc.com/product-category/office-equipment/projector/,https://www.amarpc.com/shop-2/office-equipment/projector/nebula-apollo/
0087,Fhore,http://www.fhore.com,https://www.fhore.com/nakshi-kantha.html,https://www.fhore.com/new-exclusive-hand-stitching-black-red-color-nakshi-kantha.html
0091,ONIX COMPUTERS SYSTEM,http://www.onixbd.com,https://www.onixbd.com/office-equipment/printer-office-equipment,https://www.onixbd.com/office-equipment/printer-office-equipment/brother-dcp-t720dw-printer
